in.position.x,in.position.y,in.forward_vector.x,in.forward_vector.y,in.speed_ms,in.steering_angle_deg,vaste.whalbase_position.x,vaste.whalbase_position.y,vaste.front_axle_position.x,vaste.front_axle_position.y,vaste.rear_axle_position.x,vaste.rear_axle_position.y,vaste.forward_vector.x,vaste.forward_vector.y,vaste.result.acceleration,vaste.result.steering_angle_deg,control_point_distance_to_path
21.9373749,19.6475880,-0.7008052,0.7133527,0.4352006,18.0135956,21.9373749,19.6475880,20.6058449,21.0029581,23.2689048,18.2922179,-0.7008052,0.7133527,0.8549331,13.7346294,-0.3251217
21.9373749,19.6475880,-0.7008052,0.7133527,0.4352006,18.0135956,21.9373749,19.6475880,20.6058449,21.0029581,23.2689048,18.2922179,-0.7008052,0.7133527,0.8549331,13.7346294,-0.3251217
21.9247213,19.6660749,-0.6996820,0.7144544,0.4613703,15.7441540,21.9247213,19.6660749,20.5953254,21.0235382,23.2541171,18.3086115,-0.6996820,0.7144544,0.8462099,11.9749220,-0.3237353
21.9247213,19.6660749,-0.6996820,0.7144544,0.4613703,15.7441540,21.9247213,19.6660749,20.5953254,21.0235382,23.2541171,18.3086115,-0.6996820,0.7144544,0.8462099,11.9749220,-0.3237353
21.9247213,19.6660749,-0.6986378,0.7154755,0.4869204,13.7346287,21.9247213,19.6660749,20.5973095,21.0254784,23.2521331,18.3066713,-0.6986378,0.7154755,0.8376932,10.5525549,-0.3209750
21.9110254,19.6854422,-0.6986378,0.7154755,0.4869204,13.7346287,21.9110254,19.6854422,20.5836136,21.0448457,23.2384372,18.3260386,-0.6986378,0.7154755,0.8376932,10.4275402,-0.3222928
21.9110254,19.6854422,-0.6986378,0.7154755,0.4869204,13.7346287,21.9110254,19.6854422,20.5836136,21.0448457,23.2384372,18.3260386,-0.6986378,0.7154755,0.8376932,10.4275402,-0.3222928
21.8963206,19.7056656,-0.6976699,0.7164193,0.5119476,11.9749222,21.8963206,19.7056656,20.5707477,21.0668624,23.2218935,18.3444689,-0.6976699,0.7164193,0.8293508,9.0621721,-0.3207978
21.8963206,19.7056656,-0.6976699,0.7164193,0.5119476,11.9749222,21.8963206,19.7056656,20.5707477,21.0668624,23.2218935,18.3444689,-0.6976699,0.7164193,0.8293508,9.0621721,-0.3207978
21.8963206,19.7056656,-0.6967773,0.7172876,0.5365153,10.4275389,21.8963206,19.7056656,20.5724438,21.0685120,23.2201974,18.3428193,-0.6967773,0.7172876,0.8211616,7.9301519,-0.3184437
