x;y
21.4467;20.0654
21.4313;20.0881
21.4076;20.1111
21.3838;20.1341
21.3682;20.1567
21.345;20.1908
21.3294;20.2135
21.3056;20.2364
21.2822;20.2597
21.267;20.2827
21.2436;20.3059
21.2287;20.3399
21.2134;20.3628
21.19;20.3861
21.1745;20.4088
21.1509;20.4319
21.1353;20.4546
21.1122;20.4888
21.0887;20.5119
21.0732;20.5347
21.0498;20.5579
21.0345;20.5808
21.0196;20.6148
20.9962;20.638
20.9726;20.6611
20.9574;20.6841
20.9341;20.7075
20.9188;20.7304
20.8959;20.7647
20.8805;20.7876
20.8571;20.8108
20.8418;20.8337
20.8182;20.8568
20.8026;20.8795
20.7797;20.9138
20.7642;20.9366
20.7405;20.9596
20.7249;20.9822
20.7011;21.0052
20.6858;21.0281
20.6623;21.0512
20.6475;21.0853
20.6241;21.1085
20.6088;21.1314
20.5855;21.1548
20.5703;21.1778
20.547;21.2012
20.5322;21.2352
20.5088;21.2584
20.4933;21.2812
20.4696;21.3042
20.4457;21.327
20.4299;21.3495
20.4062;21.3725
20.3831;21.4067
20.3676;21.4295
20.3441;21.4526
20.3286;21.4754
20.3052;21.4986
20.2898;21.5215
20.2669;21.5558
20.2514;21.5786
20.2278;21.6017
20.2122;21.6244
20.1886;21.6475
20.1735;21.6812
20.1498;21.7042
20.1261;21.7272
20.1105;21.7498
20.0869;21.7729
20.0714;21.7957
20.0484;21.83
20.0331;21.8529
20.01;21.8764
19.9948;21.8994
19.972;21.9339
19.9568;21.9569
19.9338;21.9805
19.9185;22.0034
19.8951;22.0266
19.8801;22.0605
19.8565;22.0836
19.8409;22.1063
19.8173;22.1294
19.7935;22.1522
19.7783;22.186
19.7547;22.2091
19.7394;22.232
19.7161;22.2554
19.7008;22.2783
19.6778;22.3126
19.6624;22.3354
19.6388;22.3585
19.6233;22.3812
19.5997;22.4044
19.5847;22.4382
19.5612;22.4613
19.5459;22.4842
19.5223;22.5073
19.5068;22.5301
19.4832;22.5532
19.4682;22.5871
19.4448;22.6103
19.4214;22.6335
19.4061;22.6564
19.3912;22.6904
19.3678;22.7137
19.3525;22.7366
19.329;22.7598
19.3055;22.7829
19.2901;22.8058
19.267;22.84
19.2516;22.8628
19.2281;22.886
19.2128;22.9089
19.1898;22.9432
19.1744;22.966
19.151;22.9892
19.1358;23.0122
19.1125;23.0356
19.0972;23.0585
19.0742;23.0928
19.0589;23.1157
19.0353;23.1388
19.0199;23.1616
18.9968;23.1958
18.9813;23.2186
18.9577;23.2417
18.9343;23.2649
18.919;23.2878
18.896;23.3221
18.8807;23.345
18.8573;23.3683
18.8418;23.391
18.8182;23.4141
18.8029;23.437
18.7798;23.4713
18.7645;23.4941
18.741;23.5174
18.7256;23.5401
18.7018;23.5631
18.6867;23.5969
18.663;23.6199
18.6474;23.6425
18.6236;23.6655
18.6082;23.6883
18.5847;23.7115
18.5699;23.7455
18.5465;23.7687
18.5313;23.7918
18.5081;23.8152
18.4928;23.8381
18.4702;23.8727
18.4551;23.8959
18.4317;23.9191
18.4164;23.942
18.393;23.9652
18.378;23.9991
18.3544;24.0222
18.3386;24.0447
18.3148;24.0676
18.2992;24.0902
18.276;24.1244
18.2525;24.1475
18.237;24.1703
18.2218;24.1933
18.1986;24.2167
18.1837;24.2507
18.1606;24.2741
18.1456;24.2973
18.1223;24.3206
18.0988;24.3439
18.0841;24.378
18.0607;24.4012
18.0454;24.4241
18.0221;24.4474
18.0068;24.4703
17.9832;24.4934
17.9682;24.5273
17.9446;24.5504
17.929;24.5731
17.9052;24.5959
17.8896;24.6186
17.8666;24.6529
17.8511;24.6757
17.8276;24.6988
17.8121;24.7215
17.7885;24.7447
17.7735;24.7785
17.7501;24.8018
17.7266;24.825
17.7113;24.8479
17.6882;24.8714
17.6735;24.9055
17.6503;24.929
17.6352;24.952
17.6116;24.9751
17.5963;24.998
